"","X.AMRS.P.","X.GRWG.P.","U.YOLO.P.","U.CNBS.P.","U.MJ.P.","X.POTX.P.","U.STZ.P.","U.IIPR.P.","X.CARA.P.","X.TLRY.P.","X.SNDL.P.","X.CNTTQ.P.","total_market_cap","number_of_stocks","divisor","index"
"203",33955.2,0,0,0,763.92,0,27230283,0,134864.85,0,0,0,27399866.97,4,2230.46092148298,12284.3967836847
"204",35134.2,0,0,0,762.96,0,27158483.75,0,132163.05,0,0,0,27326543.96,4,2230.46092148298,12251.5233048025
"205",34544.7,0,0,0,770.4,0,27492433.75,0,135990.6,0,0,0,27663739.45,4,2230.46092148298,12402.7007976481
"206",35605.8,0,0,0,770.4,0,27736217.25,0,133063.65,0,0,0,27905657.1,4,2230.46092148298,12511.1616308642
"207",34485.75,0,0,0,770.4,0,27574251.5,0,135540.3,0,0,0,27745047.95,4,2230.46092148298,12439.1544737547
"208",33601.5,0,0,0,770.4,0,27636032.25,0,139142.7,0,0,0,27809546.85,4,2230.46092148298,12468.0717703451
"209",33778.35,0,0,0,769.92,0,27550875,0,147698.4,0,0,0,27733121.67,4,2230.46092148298,12433.8074713099
"210",39319.65,0,0,0,762.96,0,27462378.25,0,141619.35,0,0,0,27644080.21,4,2230.46092148298,12393.8868167303
"211",37610.1,0,0,0,762.96,0,27599297.75,0,135540.3,0,0,0,27773211.11,4,2230.46092148298,12451.7810836758
"212",38081.7,0,0,0,752.16,0,27595958.25,0,138016.95,0,0,0,27772809.06,4,2230.46092148298,12451.600829453
"213",37786.95,0,0,0,749.04,0,27634362.5,0,133063.65,0,0,0,27805962.14,4,2230.46092148298,12466.4646092577
