"U.MGM.P.","U.LVS.P.","X.WYNN.P.","X.BJK.P.","X.GDEN.P.","U.BYD.P.","U.BALY.P.","X.RRR.P."
32.19,62.41,133.28,40.47,16.89,25.19,0,23.7
32.49,63.66,132.6,40.33,17.26,25.38,0,23.9
32.76,63.86,132.31,40.35,17.12,25.83,0,24.2
32.77,64.63,134.73,40.85,17.14,25.93,0,24.15
31.98,63.69,129.59,40.59,16.93,24.89,0,23.76
31.59,63.95,130.25,40.32,20,24.83,0,23.79
32.09,64.87,134.16,41.25,20.06,25.2,0,24.4
32.35,65.24,133.49,41.31,20.27,25.05,0,24.05
32.58,64.77,134.04,40.97,20.56,25.13,0,23.77
32.61,64.99,134.46,41.1,20.73,25.19,0,23.92
33.15,66.12,138.42,41.51,20.48,25.68,0,24.3
33.18,64.62,137.13,41.42,20.47,25.22,0,23.75
32.96,64.57,137.46,41.33,20.4,24.74,0,23.3
33.25,64.34,137.05,41.26,20.38,24.5,0,23.33
34.16,64.97,138.32,41.25,21.09,25.11,0,24
33.85,64.49,137.15,41.59,20.73,25.25,0,23.87
33.73,64.14,135.63,41.12,20.36,24.83,0,23.56
33.7,64.95,135.94,41.26,20.62,25.25,0,23.77
32.89,63.51,132.76,40.72,20.68,24.93,0,23.51
31.29,63.89,134.12,40.72,20.71,24.81,0,23.55
30.56,62.63,131.01,39.93,21.3,24.54,0,23.41
30.56,62.63,131.01,39.93,21.3,24.54,0,23.41
30.98,62.77,132.42,39.78,21.62,24.75,0,23.12
30.3,61.55,130.91,39.55,20.33,24.4,0,23.09
30.84,61.77,132.46,39.68,20.66,24.8,0,23.47
31.18,62.17,134.95,39.84,20.81,25.18,0,23.78
31.43,61.89,134.29,39.8,20.88,25.26,0,24.01
31.74,62.28,135.27,39.9,21.13,25.77,0,24.19
31.93,62.17,134.98,40,20.95,25.36,0,23.98
31.91,61.07,130.42,40.1,20.4,25.53,0,23.97
31.85,61.14,129.85,39.8,20.58,25.27,0,23.58
32.55,62.47,133.55,40.1,20.71,25.72,0,23.78
32.79,61.92,133.17,40.38,20.84,26,0,23.86
33.73,62.16,132,40.37,20.99,25.98,0,24.06
34.03,62.36,134.14,40.63,20.54,25.86,0,23.94
33.99,62.71,138.53,40.81,20.82,26.19,0,24.51
34.27,62.62,138.98,41.19,21.25,26.23,0,24.72
33.87,61.65,132,40.49,21.47,26.23,0,24.73
33.39,62.27,128.02,40.67,21.35,25.77,0,24.38
33.14,61.28,128.6,40.64,20.71,25.2,0,24.01
32.93,61.61,129.34,40.67,20.58,25.06,0,23.9
32.41,61.23,128,40.75,20.73,25.39,0,23.89
