"A.TWEX.PA.","B.ABI.PA.","H.HB.PA.","F.RCD.PA.","I.CPR.PA.","DGE.PA.","K.BBCA.PA.","K.CHRE.PA.","DK.CAB.PA.","DK.RBR.PA.","CN.KCM.PA.","CN.YWU.PA.","CN.JYB.PA.","CN.TTB.PA.","IN.MLC.PA.","IN.UBB.PA.","MX.BEC.PA.","BR.AVS.PA.","CL.CVZ.PA.","U.STZ.PA.","U.BF.B.PA.","U.TAP.PA.","U.SAM.PA."
6.88,130.77,94.48,111.34,4.93,24.86,0,1.93,97.98,45.69,257.76,27.92,69.61,29.04,6.95,10.76,0,5.07,10.88,154.85,37.3,95.66,159.41
6.82,131.87,93.59,111.49,4.97,24.84,0,2,97.35,46.04,255.03,28.27,70.45,28.85,6.95,11.03,0,5.06,10.73,156.82,37.61,96.47,157.54
6.78,130.66,93.43,110.65,4.98,24.7,0,1.99,97.66,45.7,254.09,28.43,70.35,29.26,6.86,10.8,0,5.09,10.76,156.28,37.35,95.98,156.43
6.8,130.48,94.38,110.73,5.01,24.6,0,2.04,98.89,45.76,255.07,28.87,70.73,29.27,6.73,10.83,0,5.12,10.64,156.68,37.79,95.84,156.61
6.77,130.25,94.77,110.08,4.93,24.65,0,2.05,99.44,44.49,256.75,28.69,69.6,29.49,6.71,10.87,0,5.14,10.71,155.58,38.19,95.66,155.41
6.88,124.72,94.47,108.91,4.87,24.25,0,2.01,97.89,45.44,262.02,29.59,70.42,30.26,6.76,10.89,0,5.13,10.82,156.1,38.53,95.62,156.03
7.05,125.81,94.64,110.02,4.85,24.28,0,1.99,97.89,45.33,268.72,31.81,73.4,31.15,6.74,11,0,5.15,10.72,157.83,38.68,96.76,158.38
7.26,124.95,94.2,108.11,4.83,24.44,0,2,97.42,44.76,270.79,32.3,74.67,31.41,6.97,11.04,0,5.18,10.74,158.47,38.36,98.34,154.33
7.28,122.76,93.47,108.08,4.87,24.38,0,2.03,96.26,44.66,267.03,31.93,72.58,30.93,7.13,10.49,0,5.18,10.71,158.86,38.32,98.16,152.53
7.17,125.81,94.12,108.95,4.89,24.6,0,2.03,96.43,44.83,268.52,31.67,72.78,30.94,7.41,10.85,0,5.06,10.74,159.19,38.4,98.47,154.44
7.32,126.04,94.47,109.91,4.92,24.59,0,2.01,97.71,45.09,262.92,30.53,69.89,29.87,7.36,10.91,0,4.99,10.63,159.64,38.92,98.29,154.26
7.51,127.77,95.66,111.47,5.06,24.88,0,2,99.2,45.38,261.31,30.5,70.42,30.11,7.37,11.22,0,4.99,10.62,161.14,39.25,99.13,153.8
7.54,129.27,96.05,111.7,5.07,24.82,0,2.01,99.05,45.41,262.7,30.96,69.78,30.83,7.54,11.04,0,5.04,10.65,163.5,39.58,99.96,154.33
